Category,Price_in_AUD,Rank,,,,,,,,,
Ecstasy,11424.86,C,,,,,,,,,
Ecstasy,11396.44,A,,,,,,,,,
Ecstasy,11386.50,B,,,,,,,,,
Ecstasy,11386.27,A,,,,,,,,,
Ecstasy,11385.38,D,,,,,,,,,
Ecstasy,11289.60,A,,,,,,,,,
Ecstasy,11286.83,C,,,,,,,,,
Ecstasy,11071.01,A,,,,,,,,,
Ecstasy,10982.33,F,,,,,,,,,
Ecstasy,10892.72,A,,,,,,,,,
Ecstasy,10842.56,A,,,,,,,,,
Ecstasy,10819.77,D,,,,,,,,,
Ecstasy,10787.51,D,,,,,,,,,
Ecstasy,10727.91,A,,,,,,,,,
Ecstasy,10716.09,D,,,,,,,,,
Ecstasy,10715.78,B,,,,,,,,,
Ecstasy,10715.54,A,,,,,,,,,
Ecstasy,10405.69,C,,,,,,,,,
Ecstasy,10376.24,A,,,,,,,,,
Ecstasy,10330.96,A,,,,,,,,,
Ecstasy,10185.23,E,,,,,,,,,
Ecstasy,10131.54,B,,,,,,,,,
Ecstasy,10051.07,A,,,,,,,,,
Dissociatives,10035.86,C,,,,,,,,,
Dissociatives,9972.00,A,,,,,,,,,
Dissociatives,9829.03,F,,,,,,,,,
Dissociatives,9792.91,D,,,,,,,,,
Dissociatives,9747.79,A,,,,,,,,,
Dissociatives,9706.09,B,,,,,,,,,
Dissociatives,9620.98,B,,,,,,,,,
Prescription,9532.31,A,,,,,,,,,
Dissociatives,9501.38,A,,,,,,,,,
Dissociatives,9498.36,A,,,,,,,,,
Dissociatives,9478.22,A,,,,,,,,,
Dissociatives,9389.72,B,,,,,,,,,
Dissociatives,9351.62,C,,,,,,,,,
Dissociatives,9350.82,D,,,,,,,,,
Dissociatives,9325.49,D,,,,,,,,,
Dissociatives,8847.51,C,,,,,,,,,
Cocaine,8783.70,C,,,,,,,,,
Cocaine,8729.81,D,,,,,,,,,
Cocaine,8449.81,F,,,,,,,,,
Cocaine,8397.05,C,,,,,,,,,
Cocaine,8326.27,B,,,,,,,,,
Cocaine,8239.54,D,,,,,,,,,
Cocaine,8166.60,F,,,,,,,,,
Cocaine,8057.07,B,,,,,,,,,
Cocaine,7792.53,B,,,,,,,,,
Cocaine,7756.56,A,,,,,,,,,
Cocaine,7698.36,A,,,,,,,,,
Cocaine,7640.32,A,,,,,,,,,
Cocaine,7638.95,F,,,,,,,,,
Cocaine,7630.11,A,,,,,,,,,
Cocaine,7627.96,B,,,,,,,,,
Cocaine,7446.82,C,,,,,,,,,
Cocaine,7440.62,C,,,,,,,,,
Cocaine,7432.52,C,,,,,,,,,
Cocaine,7355.18,A,,,,,,,,,
Cocaine,7276.98,A,,,,,,,,,
Cocaine,7194.76,B,,,,,,,,,
Cocaine,7185.83,B,,,,,,,,,
Cocaine,7170.54,F,,,,,,,,,
Cocaine,7154.05,B,,,,,,,,,
Cocaine,7096.61,A,,,,,,,,,
Cocaine,7004.73,E,,,,,,,,,
Cocaine,6997.51,A,,,,,,,,,
Cocaine,6973.72,B,,,,,,,,,
Cocaine,6862.13,A,,,,,,,,,
Cocaine,6827.84,C,,,,,,,,,
Cocaine,6733.31,A,,,,,,,,,
Cocaine,6719.41,D,,,,,,,,,
Cocaine,6657.14,C,,,,,,,,,
Cocaine,6656.51,D,,,,,,,,,
Cocaine,6617.84,C,,,,,,,,,
