 Category, Price_in_AUD,Rank,,,,,,,,,
MDMA,461318.58,B,,,,,,,,,
MDMA,16033.64,A,,,,,,,,,
MDMA,10330.96,D,,,,,,,,,
MDMA,120465.75,A,,,,,,,,,
MDMA,79276.36,F,,,,,,,,,
MDMA,92241.22,A,,,,,,,,,
MDMA,9829.03,D,,,,,,,,,
MDMA,122296.01,D,,,,,,,,,
MDMA,5693.31,C,,,,,,,,,
MDMA,33143.59,D,,,,,,,,,
MDMA,62861.48,A,,,,,,,,,
MDMA,18786.82,A,,,,,,,,,
MDMA,19914.09,B,,,,,,,,,
MDMA,52386.08,B,,,,,,,,,
MDMA,16818.54,B,,,,,,,,,
MDMA,14931.84,C,,,,,,,,,
MDMA,30378.8,C,,,,,,,,,
MDMA,4479.93,E,,,,,,,,,
MDMA,6656.51,A,,,,,,,,,
MDMA,6719.41,A,,,,,,,,,
MDMA,34788.67,A,,,,,,,,,
MDMA,31086.62,A,,,,,,,,,
MDMA,5375.91,C,,,,,,,,,
MDMA,299727.24,F,,,,,,,,,
MDMA,137061.35,D,,,,,,,,,
MDMA,545010.54,B,,,,,,,,,
MDMA,48913.57,A,,,,,,,,,
MDMA,217452.08,B,,,,,,,,,
MDMA,35020.44,B,,,,,,,,,
MDMA,13345.32,F,,,,,,,,,
Prescription,5021.85,A,,,,,,,,,
MDMA,123075.07,A,,,,,,,,,
MDMA,25900.34,A,,,,,,,,,
MDMA,13101.43,C,,,,,,,,,
MDMA,62422.22,A,,,,,,,,,
MDMA,44358.6,C,,,,,,,,,
MDMA,624025.12,C,,,,,,,,,
Ecstasy,20404.51,C,,,,,,,,,
Ecstasy,18593.77,F,,,,,,,,,
Ecstasy,3718.75,B,,,,,,,,,
Prescription,12279.44,B,,,,,,,,,
Prescription,3712.23,B,,,,,,,,,
Prescription,3765.36,D,,,,,,,,,
Ecstasy,37187.53,C,,,,,,,,,
Ecstasy,18696.55,A,,,,,,,,,
Ecstasy,57314.61,A,,,,,,,,,
Ecstasy,166893.54,A,,,,,,,,,
Ecstasy,9532.31,E,,,,,,,,,
Ecstasy,84125.18,A,,,,,,,,,
Ecstasy,6318.58,E,,,,,,,,,
Ecstasy,35467.86,A,,,,,,,,,
Ecstasy,246169.5,A,,,,,,,,,
Ecstasy,132064.42,A,,,,,,,,,
Ecstasy,5707.28,B,,,,,,,,,
Ecstasy,30091.66,B,,,,,,,,,
Ecstasy,42906.27,A,,,,,,,,,
Ecstasy,67988.67,A,,,,,,,,,
Ecstasy,15543.42,B,,,,,,,,,
Ecstasy,9325.49,A,,,,,,,,,
Ecstasy,22764.97,A,,,,,,,,,
Ecstasy,6617.84,B,,,,,,,,,
Ecstasy,67726.25,A,,,,,,,,,
Ecstasy,110119.52,A,,,,,,,,,
